#TYPE Selected.System.Management.Automation.PSCustomObject
"Title";"Link"
"Conversation BRK2256 - Survive disruption through workflow automation and process excellence in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2256-Survive-disruption-through-workflow-automation-and/m-p/9558#M104"
"Conversation BRK2002 - Communicate on your terms with Outlook, Yammer and Skype in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2002-Communicate-on-your-terms-with-Outlook-Yammer-and-Skype/m-p/9559#M105"
"Conversation BRK2256 -Survive disruption through workflow automation and process excellence in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2256-Survive-disruption-through-workflow-automation-and/m-p/9561#M106"
"Conversation BRK3236 - Dive into RedHat's Openshift on Microsoft Azure (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3236-Dive-into-RedHat-s-Openshift-on-Microsoft-Azure/m-p/9562#M107"
"Conversation BRK2003 - Deploy Microsoft Office 2016 the right way (Microsoft Ignite 2016) in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2003-Deploy-Microsoft-Office-2016-the-right-way-Microsoft/m-p/9563#M108"
"Conversation BRK2257 - Mark Russinovich and Mark Minasi on cloud computing in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2257-Mark-Russinovich-and-Mark-Minasi-on-cloud-computing/m-p/9564#M109"
"Conversation BRK2004 - Grok the Office engineering roadmap for deployment and management in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2004-Grok-the-Office-engineering-roadmap-for-deployment-and/m-p/9565#M110"
"Conversation BRK3237 - Microsoft Azure networking: new network services, features and scenarios in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK3237-Microsoft-Azure-networking-new-network-services-features/m-p/9566#M111"
"Conversation BRK2258 - Keep your OneDrive and SharePoint content safe in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2258-Keep-your-OneDrive-and-SharePoint-content-safe/m-p/9568#M112"
"Conversation BRK2005 - Run Microsoft Office on virtual desktops in Microsoft Ignite Content";"https://techcommunity.microsoft.com/t5/Microsoft-Ignite-Content/BRK2005-Run-Microsoft-Office-on-virtual-desktops/m-p/9569#M113"
